"","id","idno","SiteID","Survey","year","jday","effort_mins","tempC_st","wind_kmph_st"
"1","SRHALP2_2022",11,"SRHALP2",1,2022,96,220,5.8,9.9
"2","SRHPLA5_2022",14,"SRHPLA5",1,2022,96,275,5.8,9.9
"3","SSHALP1_2022",15,"SSHALP1",1,2022,96,240,5.8,9.9
"4","SRHALP2_2022",11,"SRHALP2",2,2022,97,255,10,16.6
"5","SRHPLA5_2022",14,"SRHPLA5",2,2022,97,265,10,16.6
"6","SSHALP1_2022",15,"SSHALP1",2,2022,97,245,10,16.6
"7","SRHALP2_2022",11,"SRHALP2",3,2022,98,240,15.9,24.4
"8","SRHPLA5_2022",14,"SRHPLA5",3,2022,98,270,15.9,24.4
"9","SSHALP1_2022",15,"SSHALP1",3,2022,98,210,16.9,22.4
"10","SDHALP4_2022",5,"SDHALP4",1,2022,102,225,2.6,31.9
"11","SDHPLA4_2022",6,"SDHPLA4",1,2022,102,280,2.6,31.9
"12","SSHPLA6_2022",20,"SSHPLA6",1,2022,102,210,2.1,33
"13","SDHALP4_2022",5,"SDHALP4",2,2022,103,225,2.3,14
"14","SDHPLA4_2022",6,"SDHPLA4",2,2022,103,250,2.5,13.3
"15","SSHPLA6_2022",20,"SSHPLA6",2,2022,103,300,2.8,13.7
"16","SDHALP4_2022",5,"SDHALP4",3,2022,104,120,5.6,20.6
"17","SDHPLA4_2022",6,"SDHPLA4",3,2022,104,165,5.6,22.1
"18","SSHPLA6_2022",20,"SSHPLA6",3,2022,104,225,5.4,22.3
"19","POSE1_2023",4,"POSE1",1,2023,122,370,17.6,8.6
"20","SDHPLA4_2023",7,"SDHPLA4",1,2023,122,334,17.6,8.6
"21","SDHPLA5_2023",9,"SDHPLA5",1,2023,122,375,18.5,8.7
"22","POSE1_2023",4,"POSE1",2,2023,123,360,21.2,24.2
"23","SDHPLA4_2023",7,"SDHPLA4",2,2023,123,290,20.5,23.9
"24","SDHPLA5_2023",9,"SDHPLA5",2,2023,123,348,21.2,24.2
"25","POSE1_2023",4,"POSE1",3,2023,124,122,17.2,24.1
"26","SDHPLA4_2023",7,"SDHPLA4",3,2023,124,250,18.8,24.6
"27","SDHPLA5_2021",8,"SDHPLA5",1,2021,124,260,15.2,23.2
"28","SDHPLA5_2023",9,"SDHPLA5",3,2023,124,304,18.8,26
"29","SDHPLA6_2021",10,"SDHPLA6",1,2021,124,236,15.2,23.2
"30","SSHPLA3_2021",17,"SSHPLA3",1,2021,124,292,15.6,24
"31","SDHPLA5_2021",8,"SDHPLA5",2,2021,125,265,17.3,11.7
"32","SDHPLA6_2021",10,"SDHPLA6",2,2021,125,240,17.3,11.7
"33","SSHPLA3_2021",17,"SSHPLA3",2,2021,125,265,17.3,11.7
"34","SDHPLA5_2021",8,"SDHPLA5",3,2021,126,245,22.8,32
"35","SDHPLA6_2021",10,"SDHPLA6",3,2021,126,105,19,33.4
"36","SSHPLA3_2021",17,"SSHPLA3",3,2021,126,245,22.8,32
"37","ARTR1_2022",1,"ARTR1",1,2022,130,310,6.8,11.3
"38","POSE1_2022",3,"POSE1",1,2022,130,335,6.8,11.3
"39","ARTR1_2022",1,"ARTR1",2,2022,131,335,8.5,27
"40","POSE1_2022",3,"POSE1",2,2022,131,345,8.5,27
"41","SRHPLA3_2021",12,"SRHPLA3",1,2021,131,139,13.6,9.4
"42","SRHPLA4_2021",13,"SRHPLA4",1,2021,131,199,15.1,10.2
"43","ARTR1_2022",1,"ARTR1",3,2022,132,353,13,14.5
"44","POSE1_2022",3,"POSE1",3,2022,132,340,12.7,14.9
"45","SRHPLA3_2021",12,"SRHPLA3",2,2021,132,228,19,17.2
"46","SRHPLA4_2021",13,"SRHPLA4",2,2021,132,225,19,17.2
"47","SSHPLA4_2021",19,"SSHPLA4",1,2021,132,250,19,17.2
"48","SRHPLA3_2021",12,"SRHPLA3",3,2021,133,230,22.1,16.6
"49","SRHPLA4_2021",13,"SRHPLA4",3,2021,133,279,22.7,16.9
"50","SSHPLA4_2021",19,"SSHPLA4",2,2021,133,250,22.1,16.6
"51","SSHPLA4_2021",19,"SSHPLA4",3,2021,134,195,18.3,17.7
"52","ARTR1_2023",2,"ARTR1",1,2023,136,335,22.6,13.1
"53","SSHALP1_2023",16,"SSHALP1",1,2023,136,270,22.6,13.1
"54","SSHPLA3_2023",18,"SSHPLA3",1,2023,136,341,22.6,13.1
"55","ARTR1_2023",2,"ARTR1",2,2023,137,225,19.7,8.3
"56","SSHALP1_2023",16,"SSHALP1",2,2023,137,180,19.7,8.3
"57","SSHPLA3_2023",18,"SSHPLA3",2,2023,137,291,19.7,8.3
"58","ARTR1_2023",2,"ARTR1",3,2023,138,180,20.4,12.6
"59","SSHALP1_2023",16,"SSHALP1",3,2023,138,225,22.2,11.1
"60","SSHPLA3_2023",18,"SSHPLA3",3,2023,138,288,22.2,11.1
